Unnamed: 0,ID,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,Number,Street,City,County,State,Temperature(F),Visibility(mi),Weather_Condition,Traffic_Signal,Speed Limit,Nearest Intersection
3237924,A-3242097,,2,2020-12-24 13:17:03,2020-12-24 14:32:04,43.982421,-93.25497800000001,Incident on I-35 NB near CR-4 Drive with caution.,,I-35 N,Owatonna,Steele,MN,3.0,7.0,Fair,False,70,
3237960,A-3242133,,2,2020-11-19 17:10:30,2020-11-20 00:04:00,44.777258,-93.378349,Stationary traffic on MN-13 from CR-101 (MN-13) to CR-16/McColl Dr (MN-13) due to accident.,,Highway 13 S,Savage,Scott,MN,49.0,10.0,Fair,False,,
3237988,A-3242161,,2,2020-11-03 03:00:22,2020-11-03 04:15:27,44.108266,-92.469403,Incident on US-63 near 11TH AVE Drive with caution.,724.0, 75th St NW,Rochester,Olmsted,MN,44.0,10.0,Fair,False,55,11th Ave NW
3238037,A-3242210,,2,2020-10-19 20:09:49,2020-10-19 23:09:59,44.472908000000004,-93.153761,Incident on MN-3 near MONTESSORI CT Drive with caution.,32857.0, Northfield Blvd,Northfield,Dakota,MN,33.0,10.0,Cloudy,False,50,Sheldahl Rd
3238104,A-3242279,,2,2020-10-17 05:44:30,2020-10-17 06:59:36,46.346801,-93.727701,Incident on MN-18 near COUNTY HIGHWAY 37 Drive with caution.,23500.0, 420th Pl,Aitkin,Aitkin,MN,34.0,10.0,Fair,False,,
3238105,A-3242280,,2,2020-11-29 02:40:55,2020-11-29 04:53:58,47.518865999999996,-95.119424,Accident on CR-2 (US-2) from MN-89 (US-2) to US-2 E.,100.0, Lomen Ave SE,Solway,Beltrami,MN,32.0,10.0,Cloudy / Windy,False,,
3238111,A-3242286,,2,2020-10-24 21:30:37,2020-10-25 00:30:44,45.318415,-93.669299,Incident on US-10 EB near 162ND LN Drive with caution.,15701.0, Highway 10,Elk River,Sherburne,MN,28.0,10.0,Mostly Cloudy,False,65,194th Ave NW
3238120,A-3242295,,2,2020-11-11 05:13:37,2020-11-11 07:31:46,45.304988,-93.00269,Incident on I-35 NB near MN-97 Drive with caution.,,I-35 N,Forest Lake,Chisago,MN,23.0,10.0,Fair,False,70,
3238126,A-3242301,,2,2020-10-21 16:55:40,2020-10-21 18:10:45,44.811201000000004,-93.04096,Incident on US-52 SB near CONCORD BLVD Drive with caution.,,MN-56,Inver Grove Heights,Dakota,MN,36.0,10.0,Cloudy,False,,
3238130,A-3242305,,2,2020-12-19 02:50:37,2020-12-19 04:05:38,47.383882,-92.51730699999999,Incident on US-53 SB near N MOON LAKE DR Drive with caution.,3691.0, Highway 53,Eveleth,St. Louis,MN,12.0,4.0,Light Snow,False,65,N Moon Lake Dr
3238143,A-3242318,,2,2020-12-30 16:27:06,2020-12-30 18:28:43,44.745443,-94.186987,Accident on MN-22 (US-212) from MN-22/Chandler Ave (US-212) to US-212 E - MN-22.,9727.0, Highway 212,Glencoe,McLeod,MN,21.0,10.0,Cloudy,False,65,Ideal Ave
3238146,A-3242321,,2,2020-11-25 10:32:04,2020-11-25 13:37:00,44.471336,-93.00970600000001,Incident on MN-19 near 8TH AVENUE WAY Drive with caution.,1416.0, 330th St,Dennison,Goodhue,MN,35.0,10.0,Cloudy,False,,
3238162,A-3242337,,2,2020-10-20 19:37:20,2020-10-20 20:52:27,44.655678,-93.294085,Incident on I-35 NB near MN-21 Drive with caution.,,I-35 N,Lakeville,Dakota,MN,30.0,4.0,Wintry Mix,False,70,
3238179,A-3242355,,2,2020-12-21 16:18:53,2020-12-21 18:19:18,44.863132,-93.298484,Accident on 82nd St/Exit 8 (I-35W) from I-494/MN-5/Exit 9 (I-35W) to I-35W N.,,I-35W N,Minneapolis,Hennepin,MN,28.0,10.0,Cloudy,False,55,
3238181,A-3242357,,2,2020-12-07 18:50:32,2020-12-07 21:31:35,44.325823,-93.95565,Incident on US-169 NB near MN 99 Drive with caution.,101.0, S Minnesota Ave,Saint Peter,Nicollet,MN,31.0,6.0,Cloudy,True,30,W Broadway Ave
3238182,A-3242358,,2,2020-11-06 21:14:52,2020-11-06 23:14:39,44.326706,-93.954897,Incident on US-169 NB near W CHESTNUT ST Drive with caution.,201.0, N Minnesota Ave,Saint Peter,Nicollet,MN,62.0,10.0,Fair,False,30,Chestnut St
3238183,A-3242359,,2,2020-11-17 23:59:40,2020-11-18 01:56:41,44.966637,-93.274767,Incident on I-94 EB near 3RD AVE Expect long delays.,,I-94 E,Minneapolis,Hennepin,MN,31.0,10.0,Fair,False,60,
3238184,A-3242360,,2,2020-10-24 21:51:38,2020-10-24 23:48:43,44.966522,-93.27270899999999,Incident on I-94 EB near MN-65 Drive with caution.,,3rd Ave S,Minneapolis,Hennepin,MN,29.0,10.0,Mostly Cloudy,False,30,E 17th St
