Unnamed: 0,ID,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,Number,Street,City,County,State,Temperature(F),Visibility(mi),Weather_Condition,Traffic_Signal
3561929,A-3568735,,2,2020-03-06 17:30:00,2020-03-06 18:43:21,44.97,-93.30883,At CR-2/Penn Ave/Exit 7 - Accident.,,Penn Ave S,Minneapolis,Hennepin,MN,35.0,10.0,Fair,False
3561931,A-3568737,,2,2020-03-06 17:57:00,2020-03-06 18:30:23,44.88965,-93.38693,At Gleason Rd - Accident.,,Gleason Rd,Minneapolis,Hennepin,MN,35.0,10.0,Fair,False
3561932,A-3568738,,2,2020-03-06 18:11:00,2020-03-06 19:24:21,45.15825,-93.86823,At US-12 - Accident.,1003.0, Highway 25 S,Buffalo,Wright,MN,33.0,10.0,Fair,False
3561934,A-3568740,,2,2020-03-06 18:41:00,2020-03-06 20:14:20,44.77825,-93.03467,At 117th St - Vehicle spun around.,,117th St E,Inver Grove Heights,Dakota,MN,33.0,10.0,Fair,False
3561935,A-3568741,,2,2020-03-06 19:42:00,2020-03-06 20:55:22,45.06892,-93.29695,Ramp to I-94 Eastbound and I-694 Eastbound - Accident.,,US-52 E,Minneapolis,Hennepin,MN,31.0,10.0,Fair,False
3561936,A-3568742,,2,2020-03-06 20:12:00,2020-03-06 21:45:20,43.52293,-93.47287,At Iowa/Minnesota - Accident.,11612.0, Highway 69,Emmons,Freeborn,MN,28.0,10.0,Fair,False
3561937,A-3568743,,2,2020-03-06 20:30:00,2020-03-06 21:03:23,43.96757,-92.46307,At US-52 - Accident.,3628.0, S Broadway,Rochester,Olmsted,MN,30.0,10.0,Fair,False
3561938,A-3568744,,2,2020-03-06 20:28:00,2020-03-06 22:01:20,45.85159,-95.48573,At MN-114 - Accident.,7293.0, State Highway 27,Alexandria,Douglas,MN,30.0,10.0,Fair,False
3561939,A-3568745,,2,2020-03-06 20:32:00,2020-03-06 23:46:14,44.79909,-93.28955,At 106th St/Exit 5 - Accident.,,I-35W N,Burnsville,Dakota,MN,31.0,10.0,Fair,False
3561940,A-3568746,,2,2020-03-06 20:46:00,2020-03-06 23:59:14,44.37837,-95.89186,At CR-30 (South) - Accident.,2310.0, State Highway 23,Lynd,Lyon,MN,34.0,10.0,Fair,False
3561941,A-3568747,,2,2020-03-06 21:00:00,2020-03-07 00:13:14,44.78219,-93.28855,At MN-13/Exit 3 - Accident.,511.0, Cliff Rd W,Burnsville,Dakota,MN,31.0,10.0,Fair,False
3561942,A-3568748,,2,2020-03-06 21:18:00,2020-03-06 22:29:22,44.77738,-93.59321,At US-169/Johnson Memorial Dr - Accident.,11768.0, Chestnut Blvd,Shakopee,Scott,MN,29.0,10.0,Fair,False
3561943,A-3568749,,2,2020-03-06 21:42:00,2020-03-07 00:14:16,44.89124,-93.18469,At MN-5 - Accident.,,MN-55 E,Saint Paul,Hennepin,MN,30.0,10.0,Fair,False
3561944,A-3568750,,2,2020-03-06 21:57:00,2020-03-07 00:10:17,46.71104,-94.39264,At CR-16 - Accident.,,State Highway 371 SW,Pine River,Cass,MN,27.0,10.0,Fair,False
