Unnamed: 0,ID,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Description,Number,Street,City,County,State,Temperature(F),Visibility(mi),Weather_Condition,Traffic_Signal,Speed Limit,Nearest Intersection
2967034,A-2967364,,2,2020-12-10 23:49:30,2020-12-11 00:26:30,45.36728,-93.56434399999999,Stationary traffic on US-169 N from CR-33/205th Ave (US-169) to CR-4/Fremont Ln (US-169) due to accident.,21883.0, Highway 169,Elk River,Sherburne,MN,35.0,10.0,Fair,False,,
2967066,A-2967396,,2,2020-10-19 18:33:47,2020-10-19 19:48:54,45.693872,-94.875721,Incident on I-94 WB near SECOND AVE Drive with caution.,,I-94 W,Melrose,Stearns,MN,31.0,10.0,Cloudy,False,,
2967133,A-2967464,,2,2020-12-21 16:17:05,2020-12-21 18:17:42,44.94892,-92.959066,Incident on I-494 near I-694 Drive with caution.,,I-694 S,Saint Paul,Washington,MN,28.0,10.0,Cloudy,False,,
2967179,A-2967511,,2,2020-12-27 22:36:53,2020-12-28 00:41:17,45.028184,-93.28666,Incident on I-94 EB near DOWLING AVE Drive with caution.,,I-94 E,Minneapolis,Hennepin,MN,13.0,10.0,Fair,False,,
2967184,A-2967516,,2,2020-10-21 03:04:28,2020-10-21 04:40:35,46.502219000000004,-92.67975200000001,Incident on I-35 SB near CR-6 Drive with caution.,,I-35 S,Barnum,Carlton,MN,32.0,2.0,Fog,False,,
2967198,A-2967530,,2,2020-11-02 23:36:33,2020-11-03 01:34:12,45.066872,-93.185895,Incident on I-35W NB near I-694 Drive with caution.,,I-35W N,Saint Paul,Ramsey,MN,36.0,10.0,Fair,False,,
2967209,A-2967541,,2,2020-09-12 07:45:52,2020-09-12 11:49:47,43.671587,-92.864502,Incident on I-90 WB near MN 56 Drive with caution.,,I-90 W,Austin,Mower,MN,57.0,10.0,Drizzle,False,,
2967236,A-2967570,,2,2020-10-21 08:13:30,2020-10-21 11:13:38,47.484851,-94.919969,Incident on US-71 near MN-72 Drive with caution.,,US Highway 71,Bemidji,Beltrami,MN,30.0,10.0,Cloudy,False,,
2967270,A-2967604,,2,2020-10-21 00:31:22,2020-10-21 01:46:32,45.270039000000004,-93.817619,Incident on MN-25 near DAVIDSON AVE Drive with caution.,8293.0, State Highway 25 NE,Monticello,Wright,MN,33.0,10.0,Fair,False,,
2967312,A-2967646,,2,2020-11-10 23:13:33,2020-11-11 01:31:41,43.637706,-95.998009,Incident on I-90 WB near CR-13 Drive with caution.,,I-90 W,Adrian,Nobles,MN,18.0,0.5,Fog,False,,
